next,country,year,month,max,min,std,count,sales,med,prev
4.23056080166201,Australia,2017,1,477.34,164.916,2486.1346772137,9,10345.71,281.7,1029.11
4.28901985024699,Australia,2017,2,645.3,67.95,5757.56783966884,6,17004.38,261.65,10345.71
2.62376600013393,Australia,2017,3,11503.964,213.44,8866.70451151197,3,19454.49,223.55,17004.38
4.19982398992973,Australia,2017,4,325.6,94.9,192.25,2,420.50,210.25,19454.49
4.45102444768391,Australia,2017,5,6192.688,457.58,5698.24120745768,4,15842.51,783.16,420.50
3.7422803997364,Australia,2017,6,6285.614,359.696,9870.67191441069,5,28250.39,650.88,15842.51
4.41262415406592,Australia,2017,7,828.868,125.626,1050.60577290884,7,5524.34,481.6,28250.39
3.73766962735664,Australia,2017,8,20301.476,5558.264,12286.01,2,25859.74,12929.87,5524.34
4.27644411033392,Australia,2017,9,686.024,101.76,962.934546685287,8,5466.00,356.46,25859.74
3.95115968397895,Australia,2017,10,4146.082,287.98,6585.45506500378,5,18899.23,588.96,5466.00
2.34399906905716,Austria,2017,3,1221.128,413.312,673.18,2,1634.44,817.22,484.74
3.06475365807585,Austria,2017,4,220.8,220.8,0,1,220.80,220.8,1634.44
3.04848453167473,Austria,2017,5,842.322,318.468,436.545,2,1160.79,580.395,220.80
3.16048653880991,Austria,2017,7,647.228,470.882,146.955,2,1118.11,559.055,1160.79
2.97850919592528,Austria,2017,8,877.376,569.684,256.41,2,1447.06,723.53,1118.11
3.08057598462721,Austria,2017,10,951.72,951.72,0,1,951.72,951.72,1447.06
3.33748322170455,Cyprus,2017,1,546.92,546.92,0,1,546.92,546.92,1731.86
2.9923723399261,Cyprus,2017,2,869.974000000001,86.856,698.607085957479,4,2175.12,216.955,546.92
3.00136587748859,Cyprus,2017,3,982.59,982.59,0,1,982.59,982.59,2175.12
3.03626150570552,Cyprus,2017,4,455.09,186.2,207.147678132186,3,1003.15,197,982.59
3.00902148844726,Cyprus,2017,6,1087.08,1087.08,0,1,1087.08,1087.08,1003.15
3.62510039762863,Cyprus,2017,9,530.124,121.74,295.933982164942,3,1020.99,196.35,1087.08
2.65895531855821,Cyprus,2017,10,1548.536,377.418,1039.09836229541,4,4217.94,596.945,1020.99
3.64514116431701,Denmark,2017,2,377.14,377.14,0,1,377.14,377.14,1200.42
2.57829530512083,Denmark,2017,3,4417.14,4417.14,0,1,4417.14,4417.14,377.14
2.95280212620218,Denmark,2017,4,378.7,378.7,0,1,378.70,378.7,4417.14
3.51817558482904,Denmark,2017,5,488.824,408.196,67.1900000000001,2,897.02,448.51,378.70
2.59747578987038,Denmark,2017,6,1467.902,740.516,496.218001442466,3,3297.43,1149.8,897.02
2.32868533698315,Denmark,2017,7,395.8,395.8,0,1,395.80,395.8,3297.43
3.69807791646365,Denmark,2017,8,213.15,213.15,0,1,213.15,213.15,395.80
3.21076783428743,Denmark,2017,9,2740.328,331.34,1870.39481966301,3,4989.74,389.12,213.15
3.42697783655092,Denmark,2017,10,787.712,272.636,359.593722229222,3,1624.68,427.7,4989.74
4.02514440881688,EIRE,2017,1,2565.124,323.258,6391.48426081907,7,24407.03,688.32,8707.77
4.2873761815526,EIRE,2017,2,1820.7,251.152,1164.52837037146,9,10596.06,760.45,24407.03
3.88836429661775,EIRE,2017,3,1060.574,309.808,924.601830759044,22,19381.00,570.245,10596.06
4.21554001464489,EIRE,2017,4,894.05,286.14,623.315939986555,11,7733.29,436.4,19381.00
4.33308174907171,EIRE,2017,5,1193.958,386.484,913.942004091225,18,16426.31,676.495,7733.29
4.6372431924277,EIRE,2017,6,1090.032,252.102,1029.76479769376,24,21531.87,619.87,16426.31
